year,avg_temp
1743,7.43
1744,10.31
1745,3.06
1746,
1747,
1748,
1749,
1750,10.04
1751,9.63
1752,5.97
1753,9.08
1754,8.72
1755,8.55
1756,9.17
1757,9.05
1758,8.79
1759,9.64
1760,9.14
1761,9.41
1762,8.58
1763,8.44
1764,9.07
1765,8.87
1766,8.85
1767,8.50
1768,8.61
1769,8.81
1770,8.84
1771,8.22
1772,9.30
1773,9.54
1774,8.90
1775,9.93
1776,8.89
1777,8.78
1778,9.56
1779,10.57
1780,9.25
1781,10.12
1782,8.36
1783,9.78
1784,7.80
1785,8.00
1786,7.96
1787,9.18
1788,8.84
1789,8.64
1790,9.16
1791,9.29
1792,9.10
1793,9.17
1794,9.70
1795,8.84
1796,9.18
1797,9.52
1798,9.41
1799,7.26
1800,8.88
1801,9.36
1802,8.86
1803,8.09
1804,8.59
1805,7.47
1806,9.56
1807,9.01
1808,8.41
1809,8.64
1810,8.47
1811,10.07
1812,8.00
1813,8.83
1814,7.76
1815,8.75
1816,7.78
1817,8.94
1818,9.47
1819,9.55
1820,8.11
1821,9.29
1822,10.19
1823,8.44
1824,9.51
1825,9.75
1826,9.78
1827,8.98
1828,9.63
1829,7.20
1830,8.29
1831,9.82
1832,8.65
1833,9.11
1834,10.49
1835,9.13
1836,9.04
1837,8.52
1838,7.62
1839,8.92
1840,8.35
1841,9.34
1842,9.11
1843,9.20
1844,8.24
1845,7.99
1846,10.26
1847,8.62
1848,9.11
1849,8.80
1850,8.46
1851,8.66
1852,9.66
1853,7.80
1854,8.91
1855,7.22
1856,8.79
1857,9.82
1858,8.57
1859,9.81
1860,7.84
1861,9.02
1862,9.55
1863,9.71
1864,7.77
1865,9.37
1866,9.50
1867,8.81
1868,10.40
1869,8.98
1870,8.21
1871,7.96
1872,10.07
1873,9.27
1874,9.06
1875,8.86
1876,9.11
1877,9.11
1878,9.28
1879,7.36
1880,9.29
1881,8.27
1882,9.20
1883,9.00
1884,9.74
1885,8.55
1886,8.80
1887,7.99
1888,7.84
1889,8.54
1890,8.26
1891,8.40
1892,8.34
1893,9.30
1894,9.17
1895,8.38
1896,8.80
1897,9.00
1898,9.57
1899,9.32
1900,9.35
1901,8.80
1902,8.32
1903,9.29
1904,9.12
1905,8.88
1906,9.30
1907,8.73
1908,8.60
1909,8.30
1910,9.44
1911,9.93
1912,9.21
1913,9.64
1914,9.69
1915,8.80
1916,9.20
1917,8.32
1918,9.38
1919,8.10
1920,9.50
1921,10.05
1922,8.26
1923,8.78
1924,8.63
1925,9.18
1926,9.63
1927,8.99
1928,9.36
1929,8.40
1930,9.76
1931,8.83
1932,9.44
1933,9.10
1934,10.22
1935,9.65
1936,9.44
1937,9.57
1938,9.79
1939,9.61
1940,8.05
1941,8.54
1942,8.31
1943,9.83
1944,9.38
1945,10.03
1946,9.17
1947,9.41
1948,9.96
1949,10.12
1950,9.48
1951,9.57
1952,8.94
1953,9.82
1954,8.98
1955,8.84
1956,8.15
1957,9.89
1958,9.40
1959,10.17
1960,9.69
1961,9.94
1962,8.12
1963,7.81
1964,9.18
1965,8.74
1966,9.47
1967,9.92
1968,9.14
1969,9.18
1970,9.07
1971,9.51
1972,8.96
1973,9.44
1974,9.73
1975,9.87
1976,9.82
1977,9.66
1978,8.95
1979,8.45
1980,9.12
1981,9.26
1982,9.98
1983,9.95
1984,9.34
1985,8.42
1986,8.79
1987,8.66
1988,10.21
1989,10.57
1990,10.63
1991,9.32
1992,10.39
1993,9.47
1994,10.45
1995,10.25
1996,8.32
1997,10.03
1998,10.18
1999,10.74
2000,10.75
2001,10.24
2002,10.64
2003,10.28
2004,10.27
2005,10.48
2006,10.97
2007,11.04
2008,10.42
2009,10.33
2010,8.84
2011,10.73
2012,10.08
2013,9.54
